stage,seed,radius,width,method,normalized_regret,regret,target_mse,normal_contribution,test_cost,rare_cost,common_cost,rare_axis_span,student_boundary_fraction,weighted_distance,radial_slack
neural_information_transfer,12102,32.0,4,weight,0.17661371598550946,0.09966254842210817,0.13842020614181688,0.0,6.093845183621697,42.663870880818735,2.103127513442871,0.9999898668889758,0.0,0.09966254842210816,0.0
neural_information_transfer,12102,32.0,4,point,0.17661371598550946,0.09966254842210817,0.13842020614181688,0.0,6.093845183621697,42.663870880818735,2.103127513442871,0.9999898668889758,0.0,0.09966254842210816,0.0
neural_information_transfer,12102,32.0,4,restored,0.17661371598550946,0.09966254842210817,0.13842020614181688,0.0,6.093845183621697,42.663870880818735,2.103127513442871,0.9999898668889758,0.0,0.09966254842210816,0.0
neural_information_transfer,12102,32.0,4,shuffled,0.17661371598550946,0.09966254842210817,0.13842020614181688,0.0,6.093845183621697,42.663870880818735,2.103127513442871,0.9999898668889758,0.0,0.09966254842210816,0.0
neural_information_transfer,12102,32.0,16,restored,0.0002467953880063284,0.00013926583884091832,0.00019342477616794067,0.0,5.558905099174391,42.66512287065414,1.5096752692512008,1.0000000000000002,0.0,0.00013926583884091726,0.0
neural_information_transfer,12102,32.0,16,weight,0.0002467953880063284,0.00013926583884091832,0.00019342477616794067,0.0,5.558905099174391,42.66512287065414,1.5096752692512008,1.0000000000000002,0.0,0.00013926583884091726,0.0
neural_information_transfer,12102,32.0,16,shuffled,0.0002467953880063284,0.00013926583884091832,0.00019342477616794067,0.0,5.558905099174391,42.66512287065414,1.5096752692512008,1.0000000000000002,0.0,0.00013926583884091726,0.0
neural_information_transfer,12102,32.0,16,point,0.0002467953880063284,0.00013926583884091832,0.00019342477616794067,0.0,5.558905099174391,42.66512287065414,1.5096752692512008,1.0000000000000002,0.0,0.00013926583884091726,0.0
neural_information_transfer,12103,0.5,2,weight,0.5076015593630062,0.05765044719553201,0.020751551949892824,0.042709329791609185,8.230578630514502,60.913015215992665,2.2751727556343617,0.9999910574343748,0.08734130859375,0.03680852130320734,0.020841925892324677
neural_information_transfer,12103,0.5,2,restored,0.4554923779793235,0.051732187973609414,0.022287620177702645,0.03568510144566351,8.206002266570039,60.90161875105133,2.2491064900634603,0.9994962416424144,0.25925699869791663,0.04277596349467128,0.008956224478938133
neural_information_transfer,12103,0.5,2,shuffled,0.7898278066572371,0.08970407088267586,0.02128443271564726,0.07437927932740981,8.631992281855155,65.78262071935951,2.1714864584850977,0.06867724511186588,0.1129150390625,0.057889269290350244,0.03181480159232561
neural_information_transfer,12103,0.5,2,point,0.8037255491188418,0.09128249603354673,0.02097764126237802,0.07617859432463454,8.641242363606931,65.94786959842789,2.163101893583692,2.3980994510486357e-05,0.091552734375,0.05780471567976975,0.03347778035377698
neural_information_transfer,12103,0.5,4,weight,0.3120081865181399,0.0354360839710782,0.015005207101895292,0.02463233485771358,8.050484049356315,60.86124187340513,2.0805722953334076,0.9999789618657957,0.18332926432291666,0.025996433171667,0.009439650799411194
neural_information_transfer,12103,0.5,4,restored,0.25988656868123144,0.029516412288778437,0.01489490543442715,0.018792080375990887,8.03183997038766,60.840354873516254,2.0621817639470374,0.9999709720029211,0.486572265625,0.028215602870454007,0.0013008094183244309
neural_information_transfer,12103,0.5,4,point,0.6136916078519277,0.06969954087061289,0.014250269400922229,0.05943934690194889,8.479835921123218,65.94421170711011,1.983863006185569,8.494464831096078e-05,0.39414469401041663,0.046949755101036605,0.022749785769576286
neural_information_transfer,12103,0.5,4,shuffled,0.452501651855512,0.05139251861031301,0.015241121785205328,0.04041891092496516,8.293516183678756,63.70481059166131,2.0296307288633373,0.37951060387538643,0.34556070963541663,0.04328290535333351,0.00810961325697949
neural_information_transfer,12103,0.5,16,point,0.0002948950392774579,3.349247175565008e-05,8.491680822088156e-06,2.7378461563744783e-05,7.770066414275419,60.814679391981706,1.7737188602738403,1.0000000000000013,0.697509765625,3.349101059589416e-05,1.461159754677601e-09
neural_information_transfer,12103,0.5,16,shuffled,0.08873035506331164,0.01007748017093869,0.002397482045515506,0.008351293098167525,7.849359546681976,61.19589976202282,1.818881087556489,1.0000000000000004,0.6573893229166666,0.008815366955251364,0.0012621132156873265
neural_information_transfer,12103,0.5,16,weight,0.00019612858463516987,2.2275149481875946e-05,6.308383335281258e-06,1.773311348047173e-05,7.76995955524427,60.81415196770844,1.7736595434004956,1.0000000000000018,0.6962483723958333,2.2273743451553658e-05,1.4060303212132164e-09
neural_information_transfer,12103,0.5,16,restored,0.0005009306713755901,5.689280634795767e-05,1.821072409410037e-05,4.378108500020364e-05,7.770275211664615,60.815799731247175,1.7738246137987619,1.0000000000000009,0.6935831705729166,5.6879253492665256e-05,1.355285529121577e-08
neural_information_transfer,12103,2.0,2,weight,0.409166221203566,0.12282636826420837,0.136702510906129,0.024400560411795474,7.325839236610488,51.98923473865553,2.276933658118438,0.99999656662732,0.07743326822916666,0.11127502781869192,0.01155134044551648
neural_information_transfer,12103,2.0,2,point,0.40087389966867576,0.12033712138646346,0.13072583750566785,0.02621451838238257,7.320999250401162,52.29093603421957,2.2374411791869075,0.9999356266182918,0.07806396484375,0.10975380936603568,0.010583312020427782
neural_information_transfer,12103,2.0,2,shuffled,0.7844892282133792,0.23549344459669522,0.15199277486620272,0.12605864669302924,8.39828719131705,63.74787170234745,2.14137763789622,0.20935611378425767,0.009765625,0.17494933008846605,0.06054411450822916
neural_information_transfer,12103,2.0,2,restored,0.4086924747869173,0.12268415576273652,0.1366323820375736,0.02430884069568351,7.330548555426661,52.03242368076824,2.277293106475004,0.9999959970880536,0.08050537109375,0.11154303136961105,0.011141124393125453
neural_information_transfer,12103,2.0,4,restored,0.2758992154918805,0.08282134958778106,0.09189788154705915,0.016654874873898474,7.0988976111411155,52.16866981641348,2.0040537966320664,0.99997745454972,0.0965576171875,0.07721304470070554,0.005608304887075527
neural_information_transfer,12103,2.0,4,weight,0.28220459701807543,0.08471414296428378,0.09092738941233426,0.01924642258740312,7.113302025348169,52.37874454792672,1.9963389575784198,0.999946484252122,0.07326253255208333,0.07498454728312721,0.009729595681156585
neural_information_transfer,12103,2.0,4,point,0.2658394893630069,0.0798015508797949,0.08607332166379753,0.017828759281860677,7.095637580469658,52.34042727797517,1.9810091798820784,0.9999814670457376,0.088134765625,0.0706796581658625,0.009121892713932414
neural_information_transfer,12103,2.0,4,shuffled,0.31367973869056226,0.09416257038055775,0.08804209132719906,0.030772264624974427,7.217025416652475,53.52904833121813,1.98175326109288,0.9791617767417389,0.06980387369791666,0.07632309128758893,0.01783947909296881
